ID,labels
Id_83,Non-sarcastic
Id_84,Non-sarcastic
Id_85,Non-sarcastic
Id_86,Sarcastic
Id_87,Sarcastic
Id_88,Non-sarcastic
Id_89,Non-sarcastic
Id_90,Sarcastic
Id_91,Non-sarcastic
Id_92,Sarcastic
Id_93,Sarcastic
Id_94,Sarcastic
Id_95,Sarcastic
Id_96,Non-sarcastic
Id_97,Non-sarcastic
Id_98,Non-sarcastic
Id_99,Sarcastic
Id_100,Sarcastic
Id_101,Sarcastic
Id_102,Non-sarcastic
Id_103,Sarcastic
Id_104,Non-sarcastic
Id_105,Non-sarcastic
Id_106,Non-sarcastic
Id_107,Sarcastic
Id_108,Sarcastic
Id_109,Non-sarcastic
Id_110,Non-sarcastic
Id_111,Sarcastic
Id_112,Non-sarcastic
Id_113,Non-sarcastic
Id_114,Non-sarcastic
Id_115,Non-sarcastic
Id_116,Sarcastic
Id_117,Non-sarcastic
Id_118,Sarcastic
Id_119,Non-sarcastic
Id_120,Sarcastic
Id_121,Non-sarcastic
Id_122,Non-sarcastic
Id_123,Non-sarcastic
Id_124,Sarcastic
Id_125,Non-sarcastic
Id_126,Non-sarcastic
Id_127,Non-sarcastic
Id_128,Non-sarcastic
Id_129,Non-sarcastic
Id_130,Non-sarcastic
Id_131,Non-sarcastic
Id_132,Sarcastic
Id_133,Non-sarcastic
Id_134,Non-sarcastic
Id_135,Sarcastic
Id_136,Non-sarcastic
Id_137,Non-sarcastic
Id_138,Sarcastic
Id_139,Non-sarcastic
Id_140,Non-sarcastic
Id_141,Non-sarcastic
Id_142,Non-sarcastic
Id_143,Non-sarcastic
Id_144,Non-sarcastic
Id_145,Non-sarcastic
Id_146,Non-sarcastic
Id_147,Non-sarcastic
Id_148,Non-sarcastic
Id_149,Non-sarcastic
Id_150,Non-sarcastic
Id_151,Non-sarcastic
Id_152,Non-sarcastic
Id_153,Sarcastic
Id_154,Sarcastic
Id_155,Non-sarcastic
Id_156,Non-sarcastic
Id_157,Non-sarcastic
Id_158,Sarcastic
Id_159,Non-sarcastic
Id_160,Sarcastic
Id_161,Non-sarcastic
Id_162,Sarcastic
Id_163,Non-sarcastic
Id_164,Non-sarcastic
Id_165,Non-sarcastic
Id_166,Non-sarcastic
Id_167,Sarcastic
Id_168,Non-sarcastic
Id_169,Sarcastic
Id_170,Non-sarcastic
Id_171,Non-sarcastic
Id_172,Non-sarcastic
Id_173,Non-sarcastic
Id_174,Non-sarcastic
Id_175,Non-sarcastic
Id_176,Non-sarcastic
Id_177,Sarcastic
Id_178,Non-sarcastic
Id_179,Non-sarcastic
Id_180,Non-sarcastic
Id_181,Sarcastic
Id_182,Sarcastic
Id_183,Sarcastic
Id_184,Non-sarcastic
Id_185,Non-sarcastic
Id_186,Non-sarcastic
Id_187,Non-sarcastic
Id_188,Non-sarcastic
Id_189,Non-sarcastic
Id_190,Sarcastic
Id_191,Sarcastic
Id_192,Non-sarcastic
Id_193,Sarcastic
Id_194,Non-sarcastic
Id_195,Non-sarcastic
Id_196,Sarcastic
Id_197,Sarcastic
Id_198,Non-sarcastic
Id_199,Sarcastic
Id_200,Non-sarcastic
Id_201,Sarcastic
Id_202,Non-sarcastic
Id_203,Non-sarcastic
Id_204,Non-sarcastic
Id_205,Non-sarcastic
Id_206,Non-sarcastic
Id_207,Sarcastic
Id_208,Non-sarcastic
Id_209,Sarcastic
Id_210,Non-sarcastic
Id_211,Non-sarcastic
Id_212,Non-sarcastic
Id_213,Non-sarcastic
Id_214,Sarcastic
Id_215,Sarcastic
Id_216,Sarcastic
Id_217,Non-sarcastic
Id_218,Non-sarcastic
Id_219,Sarcastic
Id_220,Sarcastic
Id_221,Sarcastic
Id_222,Non-sarcastic
Id_223,Non-sarcastic
Id_224,Sarcastic
Id_225,Non-sarcastic
Id_226,Sarcastic
Id_227,Sarcastic
Id_228,Sarcastic
Id_229,Non-sarcastic
Id_230,Non-sarcastic
Id_231,Non-sarcastic
Id_232,Non-sarcastic
Id_233,Non-sarcastic
Id_234,Sarcastic
Id_235,Sarcastic
Id_236,Sarcastic
Id_237,Non-sarcastic
Id_238,Sarcastic
Id_239,Non-sarcastic
Id_240,Non-sarcastic
Id_241,Non-sarcastic
Id_242,Sarcastic
Id_243,Non-sarcastic
Id_244,Sarcastic
Id_245,Non-sarcastic
Id_246,Non-sarcastic
Id_247,Non-sarcastic
Id_248,Non-sarcastic
Id_249,Non-sarcastic
Id_250,Sarcastic
Id_251,Non-sarcastic
Id_252,Non-sarcastic
Id_253,Non-sarcastic
Id_254,Non-sarcastic
Id_255,Non-sarcastic
Id_256,Sarcastic
Id_257,Sarcastic
Id_258,Sarcastic
Id_259,Sarcastic
Id_260,Non-sarcastic
Id_261,Non-sarcastic
Id_262,Non-sarcastic
Id_263,Sarcastic
Id_264,Non-sarcastic
Id_265,Non-sarcastic
Id_266,Sarcastic
Id_267,Non-sarcastic
Id_268,Sarcastic
Id_269,Non-sarcastic
Id_270,Sarcastic
Id_271,Non-sarcastic
Id_272,Non-sarcastic
Id_273,Non-sarcastic
Id_274,Non-sarcastic
Id_275,Non-sarcastic
Id_276,Non-sarcastic
Id_277,Non-sarcastic
Id_278,Non-sarcastic
Id_279,Non-sarcastic
Id_280,Sarcastic
Id_281,Non-sarcastic
Id_282,Non-sarcastic
Id_283,Non-sarcastic
Id_284,Non-sarcastic
Id_285,Non-sarcastic
Id_286,Non-sarcastic
Id_287,Non-sarcastic
Id_288,Non-sarcastic
Id_289,Sarcastic
Id_290,Non-sarcastic
Id_291,Sarcastic
Id_292,Non-sarcastic
Id_293,Non-sarcastic
Id_294,Sarcastic
Id_295,Sarcastic
Id_296,Non-sarcastic
Id_297,Non-sarcastic
Id_298,Non-sarcastic
Id_299,Sarcastic
Id_300,Non-sarcastic
Id_301,Non-sarcastic
Id_302,Non-sarcastic
Id_303,Non-sarcastic
Id_304,Sarcastic
Id_305,Non-sarcastic
Id_306,Sarcastic
Id_307,Sarcastic
Id_308,Non-sarcastic
Id_309,Sarcastic
Id_310,Non-sarcastic
Id_311,Non-sarcastic
Id_312,Non-sarcastic
Id_313,Non-sarcastic
Id_314,Sarcastic
Id_315,Non-sarcastic
Id_316,Sarcastic
Id_317,Sarcastic
Id_318,Non-sarcastic
Id_319,Sarcastic
Id_320,Non-sarcastic
Id_321,Non-sarcastic
Id_322,Non-sarcastic
Id_323,Non-sarcastic
Id_324,Non-sarcastic
Id_325,Non-sarcastic
Id_326,Non-sarcastic
Id_327,Non-sarcastic
Id_328,Non-sarcastic
Id_329,Non-sarcastic
Id_330,Non-sarcastic
Id_331,Sarcastic
Id_332,Non-sarcastic
Id_333,Non-sarcastic
Id_334,Non-sarcastic
Id_335,Sarcastic
Id_336,Non-sarcastic
Id_337,Non-sarcastic
Id_338,Non-sarcastic
Id_339,Non-sarcastic
Id_340,Sarcastic
Id_341,Non-sarcastic
Id_342,Non-sarcastic
Id_343,Non-sarcastic
Id_344,Non-sarcastic
Id_345,Non-sarcastic
Id_346,Sarcastic
Id_347,Non-sarcastic
Id_348,Non-sarcastic
Id_349,Non-sarcastic
Id_350,Non-sarcastic
Id_351,Non-sarcastic
Id_352,Sarcastic
Id_353,Non-sarcastic
Id_354,Sarcastic
Id_355,Non-sarcastic
Id_356,Sarcastic
Id_357,Sarcastic
Id_358,Non-sarcastic
Id_359,Non-sarcastic
Id_360,Non-sarcastic
Id_361,Non-sarcastic
Id_362,Sarcastic
Id_363,Non-sarcastic
Id_364,Sarcastic
Id_365,Non-sarcastic
Id_366,Non-sarcastic
Id_367,Sarcastic
Id_368,Non-sarcastic
Id_369,Non-sarcastic
Id_370,Non-sarcastic
Id_371,Non-sarcastic
Id_372,Non-sarcastic
Id_373,Non-sarcastic
Id_374,Non-sarcastic
Id_375,Non-sarcastic
Id_376,Non-sarcastic
Id_377,Sarcastic
Id_378,Non-sarcastic
Id_379,Non-sarcastic
Id_380,Sarcastic
Id_381,Sarcastic
Id_382,Non-sarcastic
Id_383,Non-sarcastic
Id_384,Non-sarcastic
Id_385,Non-sarcastic
Id_386,Non-sarcastic
Id_387,Non-sarcastic
Id_388,Non-sarcastic
Id_389,Non-sarcastic
Id_390,Non-sarcastic
Id_391,Non-sarcastic
Id_392,Non-sarcastic
Id_393,Non-sarcastic
Id_394,Non-sarcastic
Id_395,Non-sarcastic
Id_396,Non-sarcastic
Id_397,Non-sarcastic
Id_398,Non-sarcastic
Id_399,Non-sarcastic
Id_400,Non-sarcastic
Id_401,Sarcastic
Id_402,Non-sarcastic
Id_403,Sarcastic
Id_404,Non-sarcastic
Id_405,Non-sarcastic
Id_406,Non-sarcastic
Id_407,Sarcastic
Id_408,Sarcastic
Id_409,Non-sarcastic
Id_410,Sarcastic
Id_411,Non-sarcastic
Id_412,Non-sarcastic
Id_413,Sarcastic
Id_414,Non-sarcastic
Id_415,Sarcastic
Id_416,Sarcastic
Id_417,Non-sarcastic
Id_418,Non-sarcastic
Id_419,Non-sarcastic
Id_420,Non-sarcastic
Id_421,Non-sarcastic
Id_422,Non-sarcastic
Id_423,Non-sarcastic
Id_424,Non-sarcastic
Id_425,Non-sarcastic
Id_426,Non-sarcastic
Id_427,Sarcastic
Id_428,Non-sarcastic
Id_429,Non-sarcastic
Id_430,Non-sarcastic
Id_431,Sarcastic
Id_432,Non-sarcastic
Id_433,Sarcastic
Id_434,Sarcastic
Id_435,Non-sarcastic
Id_436,Sarcastic
Id_437,Non-sarcastic
Id_438,Non-sarcastic
Id_439,Sarcastic
Id_440,Non-sarcastic
Id_441,Non-sarcastic
Id_442,Sarcastic
Id_443,Non-sarcastic
Id_444,Non-sarcastic
Id_445,Non-sarcastic
Id_446,Non-sarcastic
Id_447,Non-sarcastic
Id_448,Non-sarcastic
Id_449,Non-sarcastic
Id_450,Non-sarcastic
Id_451,Non-sarcastic
Id_452,Non-sarcastic
Id_453,Sarcastic
Id_454,Non-sarcastic
Id_455,Non-sarcastic
Id_456,Non-sarcastic
Id_457,Sarcastic
Id_458,Non-sarcastic
Id_459,Non-sarcastic
Id_460,Non-sarcastic
Id_461,Sarcastic
Id_462,Sarcastic
Id_463,Non-sarcastic
Id_464,Non-sarcastic
Id_465,Sarcastic
Id_466,Non-sarcastic
Id_467,Sarcastic
Id_468,Sarcastic
Id_469,Non-sarcastic
Id_470,Non-sarcastic
Id_471,Sarcastic
Id_472,Non-sarcastic
Id_473,Non-sarcastic
Id_474,Non-sarcastic
Id_475,Non-sarcastic
Id_476,Sarcastic
Id_477,Non-sarcastic
Id_478,Non-sarcastic
Id_479,Non-sarcastic
Id_480,Non-sarcastic
Id_481,Non-sarcastic
Id_482,Non-sarcastic
Id_483,Non-sarcastic
Id_484,Non-sarcastic
Id_485,Non-sarcastic
Id_486,Non-sarcastic
Id_487,Non-sarcastic
Id_488,Non-sarcastic
Id_489,Sarcastic
Id_490,Non-sarcastic
Id_491,Non-sarcastic
Id_492,Non-sarcastic
Id_493,Non-sarcastic
Id_494,Non-sarcastic
Id_495,Sarcastic
Id_496,Sarcastic
Id_497,Non-sarcastic
Id_498,Non-sarcastic
Id_499,Non-sarcastic
Id_500,Non-sarcastic
Id_501,Sarcastic
Id_502,Non-sarcastic
Id_503,Non-sarcastic
Id_504,Non-sarcastic
Id_505,Non-sarcastic
Id_506,Sarcastic
Id_507,Sarcastic
Id_508,Non-sarcastic
Id_509,Non-sarcastic
Id_510,Non-sarcastic
Id_511,Non-sarcastic
Id_512,Non-sarcastic
Id_513,Sarcastic
Id_514,Non-sarcastic
Id_515,Non-sarcastic
Id_516,Non-sarcastic
Id_517,Sarcastic
Id_518,Non-sarcastic
Id_519,Non-sarcastic
Id_520,Non-sarcastic
Id_521,Sarcastic
Id_522,Non-sarcastic
Id_523,Sarcastic
Id_524,Non-sarcastic
Id_525,Non-sarcastic
Id_526,Non-sarcastic
Id_527,Non-sarcastic
Id_528,Non-sarcastic
Id_529,Non-sarcastic
Id_530,Sarcastic
Id_531,Sarcastic
Id_532,Non-sarcastic
Id_533,Non-sarcastic
Id_534,Sarcastic
Id_535,Sarcastic
Id_536,Non-sarcastic
Id_537,Non-sarcastic
Id_538,Non-sarcastic
Id_539,Sarcastic
Id_540,Non-sarcastic
Id_541,Non-sarcastic
Id_542,Non-sarcastic
Id_543,Sarcastic
Id_544,Sarcastic
Id_545,Non-sarcastic
Id_546,Non-sarcastic
Id_547,Sarcastic
Id_548,Non-sarcastic
Id_549,Non-sarcastic
Id_550,Sarcastic
Id_551,Non-sarcastic
Id_552,Non-sarcastic
Id_553,Non-sarcastic
Id_554,Sarcastic
Id_555,Non-sarcastic
Id_556,Non-sarcastic
Id_557,Non-sarcastic
Id_558,Non-sarcastic
Id_559,Non-sarcastic
Id_560,Sarcastic
Id_561,Non-sarcastic
Id_562,Non-sarcastic
Id_563,Non-sarcastic
Id_564,Sarcastic
Id_565,Non-sarcastic
Id_566,Non-sarcastic
Id_567,Non-sarcastic
Id_568,Non-sarcastic
Id_569,Sarcastic
Id_570,Non-sarcastic
Id_571,Sarcastic
Id_572,Non-sarcastic
Id_573,Non-sarcastic
Id_574,Non-sarcastic
Id_575,Sarcastic
Id_576,Non-sarcastic
Id_577,Sarcastic
Id_578,Non-sarcastic
Id_579,Non-sarcastic
Id_580,Non-sarcastic
Id_581,Non-sarcastic
Id_582,Non-sarcastic
Id_583,Sarcastic
Id_584,Sarcastic
Id_585,Non-sarcastic
Id_586,Non-sarcastic
Id_587,Non-sarcastic
Id_588,Non-sarcastic
Id_589,Non-sarcastic
Id_590,Non-sarcastic
Id_591,Sarcastic
Id_592,Sarcastic
Id_593,Sarcastic
Id_594,Non-sarcastic
Id_595,Non-sarcastic
Id_596,Non-sarcastic
Id_597,Sarcastic
Id_598,Non-sarcastic
Id_599,Sarcastic
Id_600,Non-sarcastic
Id_601,Sarcastic
Id_602,Non-sarcastic
Id_603,Non-sarcastic
Id_604,Non-sarcastic
Id_605,Non-sarcastic
Id_606,Sarcastic
Id_607,Non-sarcastic
Id_608,Sarcastic
Id_609,Non-sarcastic
Id_610,Non-sarcastic
Id_611,Non-sarcastic
Id_612,Non-sarcastic
Id_613,Non-sarcastic
Id_614,Sarcastic
Id_615,Sarcastic
Id_616,Non-sarcastic
Id_617,Non-sarcastic
Id_618,Non-sarcastic
Id_619,Sarcastic
Id_620,Non-sarcastic
Id_621,Non-sarcastic
Id_622,Non-sarcastic
Id_623,Non-sarcastic
Id_624,Non-sarcastic
Id_625,Non-sarcastic
Id_626,Sarcastic
Id_627,Sarcastic
Id_628,Non-sarcastic
Id_629,Non-sarcastic
Id_630,Sarcastic
Id_631,Non-sarcastic
Id_632,Non-sarcastic
Id_633,Sarcastic
Id_634,Non-sarcastic
Id_635,Non-sarcastic
Id_636,Non-sarcastic
Id_637,Non-sarcastic
Id_638,Non-sarcastic
Id_639,Non-sarcastic
Id_640,Sarcastic
Id_641,Non-sarcastic
Id_642,Non-sarcastic
Id_643,Non-sarcastic
Id_644,Non-sarcastic
Id_645,Non-sarcastic
Id_646,Non-sarcastic
Id_647,Non-sarcastic
Id_648,Non-sarcastic
Id_649,Non-sarcastic
Id_650,Non-sarcastic
Id_651,Non-sarcastic
Id_652,Non-sarcastic
Id_653,Non-sarcastic
Id_654,Non-sarcastic
Id_655,Non-sarcastic
Id_656,Non-sarcastic
Id_657,Sarcastic
Id_658,Non-sarcastic
Id_659,Sarcastic
Id_660,Non-sarcastic
Id_661,Non-sarcastic
Id_662,Sarcastic
Id_663,Sarcastic
Id_664,Non-sarcastic
Id_665,Non-sarcastic
Id_666,Non-sarcastic
Id_667,Non-sarcastic
Id_668,Non-sarcastic
Id_669,Non-sarcastic
Id_670,Non-sarcastic
Id_671,Non-sarcastic
Id_672,Non-sarcastic
Id_673,Non-sarcastic
Id_674,Non-sarcastic
Id_675,Non-sarcastic
Id_676,Non-sarcastic
Id_677,Non-sarcastic
Id_678,Non-sarcastic
Id_679,Sarcastic
Id_680,Sarcastic
Id_681,Sarcastic
Id_682,Sarcastic
Id_683,Sarcastic
Id_684,Sarcastic
Id_685,Non-sarcastic
Id_686,Non-sarcastic
Id_687,Non-sarcastic
Id_688,Non-sarcastic
Id_689,Non-sarcastic
Id_690,Non-sarcastic
Id_691,Non-sarcastic
Id_692,Non-sarcastic
Id_693,Sarcastic
Id_694,Non-sarcastic
Id_695,Non-sarcastic
Id_696,Non-sarcastic
Id_697,Non-sarcastic
Id_698,Non-sarcastic
Id_699,Non-sarcastic
Id_700,Sarcastic
Id_701,Sarcastic
Id_702,Sarcastic
Id_703,Non-sarcastic
Id_704,Non-sarcastic
Id_705,Sarcastic
Id_706,Non-sarcastic
Id_707,Non-sarcastic
Id_708,Non-sarcastic
Id_709,Sarcastic
Id_710,Non-sarcastic
Id_711,Sarcastic
Id_712,Sarcastic
Id_713,Non-sarcastic
Id_714,Non-sarcastic
Id_715,Sarcastic
Id_716,Non-sarcastic
Id_717,Non-sarcastic
Id_718,Non-sarcastic
Id_719,Non-sarcastic
Id_720,Sarcastic
Id_721,Non-sarcastic
Id_722,Non-sarcastic
Id_723,Non-sarcastic
Id_724,Non-sarcastic
Id_725,Non-sarcastic
Id_726,Non-sarcastic
Id_727,Non-sarcastic
Id_728,Non-sarcastic
Id_729,Sarcastic
Id_730,Non-sarcastic
Id_731,Sarcastic
Id_732,Non-sarcastic
Id_733,Non-sarcastic
Id_734,Non-sarcastic
Id_735,Non-sarcastic
Id_736,Non-sarcastic
Id_737,Sarcastic
Id_738,Sarcastic
Id_739,Non-sarcastic
Id_740,Non-sarcastic
Id_741,Non-sarcastic
Id_742,Non-sarcastic
Id_743,Non-sarcastic
Id_744,Non-sarcastic
Id_745,Sarcastic
Id_746,Non-sarcastic
Id_747,Non-sarcastic
Id_748,Non-sarcastic
Id_749,Sarcastic
Id_750,Non-sarcastic
Id_751,Non-sarcastic
Id_752,Non-sarcastic
Id_753,Non-sarcastic
Id_754,Non-sarcastic
Id_755,Sarcastic
Id_756,Non-sarcastic
Id_757,Sarcastic
Id_758,Sarcastic
Id_759,Non-sarcastic
Id_760,Non-sarcastic
Id_761,Non-sarcastic
Id_762,Non-sarcastic
Id_763,Non-sarcastic
Id_764,Non-sarcastic
Id_765,Non-sarcastic
Id_766,Non-sarcastic
Id_767,Non-sarcastic
Id_768,Non-sarcastic
Id_769,Non-sarcastic
Id_770,Sarcastic
Id_771,Non-sarcastic
Id_772,Sarcastic
Id_773,Non-sarcastic
Id_774,Sarcastic
Id_775,Non-sarcastic
Id_776,Non-sarcastic
Id_777,Sarcastic
Id_778,Non-sarcastic
Id_779,Non-sarcastic
Id_780,Non-sarcastic
Id_781,Non-sarcastic
Id_782,Non-sarcastic
Id_783,Sarcastic
Id_784,Sarcastic
Id_785,Sarcastic
Id_786,Non-sarcastic
Id_787,Non-sarcastic
Id_788,Non-sarcastic
Id_789,Sarcastic
Id_790,Sarcastic
Id_791,Non-sarcastic
Id_792,Non-sarcastic
Id_793,Non-sarcastic
Id_794,Non-sarcastic
Id_795,Non-sarcastic
Id_796,Non-sarcastic
Id_797,Sarcastic
Id_798,Non-sarcastic
Id_799,Non-sarcastic
Id_800,Non-sarcastic
Id_801,Non-sarcastic
Id_802,Sarcastic
Id_803,Sarcastic
Id_804,Sarcastic
Id_805,Sarcastic
Id_806,Non-sarcastic
Id_807,Non-sarcastic
Id_808,Sarcastic
Id_809,Non-sarcastic
Id_810,Sarcastic
Id_811,Non-sarcastic
Id_812,Non-sarcastic
Id_813,Sarcastic
Id_814,Non-sarcastic
Id_815,Non-sarcastic
Id_816,Sarcastic
Id_817,Sarcastic
Id_818,Non-sarcastic
Id_819,Non-sarcastic
Id_820,Non-sarcastic
Id_821,Sarcastic
Id_822,Non-sarcastic
Id_823,Non-sarcastic
Id_824,Non-sarcastic
Id_825,Non-sarcastic
Id_826,Non-sarcastic
Id_827,Non-sarcastic
Id_828,Non-sarcastic
Id_829,Non-sarcastic
Id_830,Non-sarcastic
Id_831,Sarcastic
Id_832,Sarcastic
Id_833,Sarcastic
Id_834,Non-sarcastic
Id_835,Non-sarcastic
Id_836,Non-sarcastic
Id_837,Non-sarcastic
Id_838,Sarcastic
Id_839,Non-sarcastic
Id_840,Sarcastic
Id_841,Non-sarcastic
Id_842,Non-sarcastic
Id_843,Sarcastic
Id_844,Sarcastic
Id_845,Non-sarcastic
Id_846,Non-sarcastic
Id_847,Non-sarcastic
Id_848,Non-sarcastic
Id_849,Sarcastic
Id_850,Non-sarcastic
Id_851,Non-sarcastic
Id_852,Non-sarcastic
Id_853,Non-sarcastic
Id_854,Non-sarcastic
Id_855,Sarcastic
Id_856,Sarcastic
Id_857,Non-sarcastic
Id_858,Non-sarcastic
Id_859,Non-sarcastic
Id_860,Non-sarcastic
Id_861,Non-sarcastic
Id_862,Non-sarcastic
Id_863,Non-sarcastic
Id_864,Sarcastic
Id_865,Non-sarcastic
Id_866,Non-sarcastic
Id_867,Non-sarcastic
Id_868,Non-sarcastic
Id_869,Non-sarcastic
Id_870,Non-sarcastic
Id_871,Sarcastic
Id_872,Sarcastic
Id_873,Non-sarcastic
Id_874,Non-sarcastic
Id_875,Non-sarcastic
Id_876,Non-sarcastic
Id_877,Sarcastic
Id_878,Sarcastic
Id_879,Sarcastic
Id_880,Non-sarcastic
Id_881,Non-sarcastic
Id_882,Non-sarcastic
Id_883,Sarcastic
Id_884,Non-sarcastic
Id_885,Sarcastic
Id_886,Non-sarcastic
Id_887,Non-sarcastic
Id_888,Sarcastic
Id_889,Sarcastic
Id_890,Non-sarcastic
Id_891,Non-sarcastic
Id_892,Non-sarcastic
Id_893,Non-sarcastic
Id_894,Sarcastic
Id_895,Non-sarcastic
Id_896,Non-sarcastic
Id_897,Non-sarcastic
Id_898,Sarcastic
Id_899,Sarcastic
Id_900,Non-sarcastic
Id_901,Non-sarcastic
Id_902,Non-sarcastic
Id_903,Non-sarcastic
Id_904,Non-sarcastic
Id_905,Non-sarcastic
Id_906,Non-sarcastic
Id_907,Non-sarcastic
Id_908,Non-sarcastic
Id_909,Sarcastic
Id_910,Non-sarcastic
Id_911,Non-sarcastic
Id_912,Sarcastic
Id_913,Sarcastic
Id_914,Sarcastic
Id_915,Sarcastic
Id_916,Non-sarcastic
Id_917,Sarcastic
Id_918,Non-sarcastic
Id_919,Sarcastic
Id_920,Non-sarcastic
Id_921,Non-sarcastic
Id_922,Non-sarcastic
Id_923,Non-sarcastic
Id_924,Sarcastic
Id_925,Sarcastic
Id_926,Non-sarcastic
Id_927,Non-sarcastic
Id_928,Non-sarcastic
Id_929,Non-sarcastic
Id_930,Non-sarcastic
Id_931,Non-sarcastic
Id_932,Non-sarcastic
Id_933,Non-sarcastic
Id_934,Sarcastic
Id_935,Non-sarcastic
Id_936,Non-sarcastic
Id_937,Sarcastic
Id_938,Sarcastic
Id_939,Non-sarcastic
Id_940,Non-sarcastic
Id_941,Sarcastic
Id_942,Non-sarcastic
Id_943,Sarcastic
Id_944,Sarcastic
Id_945,Non-sarcastic
Id_946,Non-sarcastic
Id_947,Sarcastic
Id_948,Non-sarcastic
Id_949,Non-sarcastic
Id_950,Non-sarcastic
Id_951,Non-sarcastic
Id_952,Non-sarcastic
Id_953,Non-sarcastic
Id_954,Non-sarcastic
Id_955,Sarcastic
Id_956,Non-sarcastic
Id_957,Non-sarcastic
Id_958,Sarcastic
Id_959,Sarcastic
Id_960,Non-sarcastic
Id_961,Non-sarcastic
Id_962,Sarcastic
Id_963,Non-sarcastic
Id_964,Sarcastic
Id_965,Non-sarcastic
Id_966,Non-sarcastic
Id_967,Non-sarcastic
Id_968,Non-sarcastic
Id_969,Sarcastic
Id_970,Non-sarcastic
Id_971,Non-sarcastic
Id_972,Non-sarcastic
Id_973,Non-sarcastic
Id_974,Non-sarcastic
Id_975,Non-sarcastic
Id_976,Non-sarcastic
Id_977,Non-sarcastic
Id_978,Non-sarcastic
Id_979,Sarcastic
Id_980,Non-sarcastic
Id_981,Sarcastic
Id_982,Non-sarcastic
Id_983,Non-sarcastic
Id_984,Non-sarcastic
Id_985,Non-sarcastic
Id_986,Non-sarcastic
Id_987,Sarcastic
Id_988,Sarcastic
Id_989,Non-sarcastic
Id_990,Non-sarcastic
Id_991,Non-sarcastic
Id_992,Non-sarcastic
Id_993,Non-sarcastic
Id_994,Sarcastic
Id_995,Non-sarcastic
Id_996,Non-sarcastic
Id_997,Non-sarcastic
Id_998,Non-sarcastic
Id_999,Non-sarcastic
Id_1000,Sarcastic
Id_1001,Non-sarcastic
Id_1002,Non-sarcastic
Id_1003,Non-sarcastic
Id_1004,Non-sarcastic
Id_1005,Non-sarcastic
Id_1006,Non-sarcastic
Id_1007,Non-sarcastic
Id_1008,Non-sarcastic
Id_1009,Non-sarcastic
Id_1010,Non-sarcastic
Id_1011,Non-sarcastic
Id_1012,Sarcastic
Id_1013,Non-sarcastic
Id_1014,Non-sarcastic
Id_1015,Non-sarcastic
Id_1016,Non-sarcastic
Id_1017,Non-sarcastic
Id_1018,Non-sarcastic
Id_1019,Sarcastic
Id_1020,Sarcastic
Id_1021,Non-sarcastic
Id_1022,Non-sarcastic
Id_1023,Non-sarcastic
Id_1024,Sarcastic
Id_1025,Sarcastic
Id_1026,Non-sarcastic
Id_1027,Non-sarcastic
Id_1028,Non-sarcastic
Id_1029,Non-sarcastic
Id_1030,Sarcastic
Id_1031,Non-sarcastic
Id_1032,Non-sarcastic
Id_1033,Non-sarcastic
Id_1034,Non-sarcastic
Id_1035,Non-sarcastic
Id_1036,Non-sarcastic
Id_1037,Non-sarcastic
